1	1	17	6	13	
1	1	12	16	17	
1	1	18	6	13	
1	2	4	23	17	
1	5	14	5	11	
1	3	7	22	18	
1	10	12	19	23	
1	1	18	10	16	
1	4	9	21	19	
1	9	14	30	31	
1	5	13	10	14	
1	1	9	27	22	
1	10	12	23	26	
1	2	20	25	28	
1	8	5	21	19	
1	10	20	12	23	
1	8	19	20	27	
1	7	19	7	16	
1	10	8	4	9	
1	4	3	16	12	
1	7	1	3	3	
1	7	2	19	15	
1	3	5	9	8	
1	5	11	16	17	
1	6	11	1	7	
1	6	19	30	33	
1	4	9	18	17	
1	4	1	6	4	
1	6	9	20	20	
1	9	9	29	27	
1	5	12	29	27	
1	2	5	23	18	
1	2	1	9	5	
1	2	5	4	4	
1	5	15	21	23	
1	2	11	18	17	
1	9	1	9	8	
1	9	17	21	26	
1	5	3	29	21	
1	2	1	19	12	
1	8	3	3	5	
1	4	1	22	15	
1	6	17	1	11	
1	4	16	4	11	
1	2	14	1	7	
1	1	18	7	13	
1	9	12	10	16	
1	9	11	18	20	
1	4	2	12	9	
1	10	1	21	17	
1	3	16	4	10	
1	1	1	14	8	
1	7	5	9	10	
1	1	16	8	13	
1	8	10	2	9	
1	4	10	23	22	
1	5	9	21	19	
1	7	7	20	19	
1	1	12	15	16	
1	3	6	13	11	
1	10	13	9	16	
1	10	15	18	24	
1	5	20	15	22	
1	1	13	28	25	
1	8	1	16	13	
1	7	1	28	20	
1	10	19	17	25	
1	8	3	4	5	
1	2	19	19	23	
1	10	5	10	13	
1	2	9	6	8	
1	7	13	24	24	
1	5	6	10	10	
1	4	10	24	22	
1	8	16	6	15	
1	10	3	8	9	
1	7	19	7	16	
1	9	17	12	20	
1	6	6	21	18	
1	9	6	16	16	
1	1	20	10	18	
1	5	8	5	7	
1	6	16	28	29	
1	3	17	23	25	
1	9	14	14	19	
1	1	2	4	2	
1	2	13	26	24	
1	3	5	10	9	
1	4	14	28	27	
1	9	15	10	18	
1	10	10	12	17	
1	4	15	23	25	
1	8	9	20	21	
1	9	16	7	15	
1	10	7	12	15	
1	4	10	20	20	
1	2	2	5	3	
1	7	5	28	23	
1	1	16	21	22	
1	1	20	16	22	
1	10	16	17	23	
1	10	9	28	27	
1	5	20	11	19	
1	2	14	10	14	
1	3	4	15	11	
1	6	16	14	19	
1	4	4	11	9	
1	6	15	1	10	
1	6	7	11	12	
1	8	15	16	22	
1	2	17	10	16	
1	5	3	29	21	
1	5	18	29	30	
1	10	7	18	19	
1	6	10	16	18	
1	9	3	10	10	
1	3	19	26	28	
1	10	20	27	33	
1	7	20	13	22	
1	10	10	29	29	
1	1	14	5	10	
1	3	1	7	3	
1	7	9	2	7	
1	3	9	21	18	
1	9	1	22	17	
1	4	15	17	20	
1	6	18	29	31	
1	10	10	5	12	
1	4	18	2	11	
1	4	10	9	12	
1	1	4	9	7	
1	2	13	18	18	
1	5	11	12	14	
1	10	15	25	29	
1	7	3	2	3	
1	4	17	12	18	
1	6	15	20	24	
1	2	7	7	7	
1	9	6	25	22	
1	10	12	29	30	
1	10	10	20	23	
1	8	7	5	9	
1	8	10	17	19	
1	6	15	24	26	
1	2	2	30	21	
1	9	3	17	14	
1	8	14	19	23	
1	3	11	3	7	
1	4	10	3	8	
1	7	10	28	26	
1	4	17	11	17	
1	1	2	19	13	
1	10	3	12	12	
1	3	8	15	13	
1	1	20	11	18	
1	4	14	5	11	
1	8	17	8	17	
1	10	1	11	10	
1	9	2	23	19	
1	7	11	5	10	
1	9	10	3	10	
1	8	18	6	16	
1	6	9	28	25	
1	10	20	21	29	
1	5	12	13	16	
1	3	4	20	15	
1	5	12	7	11	
1	8	7	3	8	
1	8	10	28	27	
1	8	6	2	6	
1	3	6	11	9	
1	3	11	19	18	
1	6	19	17	23	
1	6	1	12	9	
1	7	5	13	13	
1	2	12	27	24	
1	9	14	14	19	
1	4	19	4	13	
1	1	6	28	21	
1	1	14	5	10	
1	7	20	9	19	
1	5	14	11	15	
1	8	14	8	15	
1	5	19	18	23	
1	6	15	3	12	
1	3	2	30	21	
1	5	20	11	19	
1	5	18	14	19	
1	10	14	15	21	
1	6	9	9	12	
1	2	18	16	20	
1	10	1	27	21	
1	7	7	22	20	
1	9	17	29	32	
